Year,Development_Status,"Population, total","Population, female","Population, male","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),GDP growth (annual %),Urban population growth (annual %),"Fertility rate, total (births per woman)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
2002,1,211347624.7647059,104058701.70588236,107288923.05882353,22.998823529411766,7.6413529411764705,257482593388.9631,6.306764705882353,48.09688235294117,28.936800086911347,29.658560545711403,5.3876833392052905,2.930385288390869,2.952,40.06904888112487,18.47591435795545,41.4550369243385
2002,2,23725182.333333332,12036702.666666666,11688479.666666666,28.456666666666667,11.65933333333333,5873658846.235207,2.183,26.932,40.82525540952727,47.84830498527964,3.132187535904927,2.0030097888036003,3.408,65.37723904782547,12.0997927112602,22.52296667733837
2003,0,77609535.5,39307202.25,38302333.25,11.125,8.225,2780562167712.801,6.332625,83.420625,47.263542642410094,42.877584346114176,2.104955308829225,0.6935872793069575,1.5881875,2.5180777249640416,25.0093786007355,72.47255237922165
2003,1,213914436.47058824,105326045.29411764,108588391.1764706,22.564117647058822,7.58435294117647,284038848165.8622,6.359529411764706,48.52764705882353,30.785470517014673,30.429143415082194,5.6119322770466775,2.9180974541723734,2.8939411764705882,39.676713768433444,18.553742361253317,41.769539589187914
2003,2,23983494.333333332,12167782.0,11815712.333333334,28.059,11.752666666666665,7080465087.329789,2.111666666666667,26.997,41.025899997543235,49.46434162143728,2.3775344899622346,1.5395461307649567,3.3223333333333334,65.3290980292985,12.187331045573833,22.483570925127736
2004,0,78064147.375,39531416.625,38532730.75,11.0625,8.0375,3049065602899.801,6.1515,83.734875,49.08574922958985,44.939761922113576,3.710892905551376,1.0087205581777925,1.6024375,2.4659049157039226,24.7577331160345,72.77635553930448
2004,1,216420396.94117647,106565643.41176471,109854753.52941176,22.22764705882353,7.539352941176471,332047705471.35986,6.30064705882353,48.964588235294116,33.33357037265094,32.794894837306785,6.257045932717115,2.7334966596411028,2.8464117647058824,38.85790017529544,18.74023836136524,42.401861560844694
2004,2,24226466.333333332,12291896.666666666,11934569.666666666,27.575333333333333,11.332666666666668,7418749872.092807,2.025,27.03633333333333,43.9133910887341,52.19822797769575,5.738272801547133,1.3894774634776603,3.234666666666667,64.85872846611883,12.4582697495072,22.6830091640698
2005,0,78533124.625,39764788.0,38768336.625,11.0375,8.075,3196124582080.9116,5.9715,84.045125,51.57981018446514,47.20162974199404,3.124545240173001,1.166580587941734,1.608,2.4643308762314864,24.186318553689574,73.34934897310299
2005,1,218889935.7647059,107790064.29411764,111099871.47058824,21.866294117647058,7.4479411764705885,394742409839.395,6.304882352941176,49.406294117647064,35.07440529173097,33.44574673856466,7.2531782328038705,2.6737602768233373,2.7932941176470587,38.07422110583194,19.087597895527846,42.83818262304741
2005,2,24453666.333333332,12408644.0,12045022.333333334,27.129333333333335,11.163333333333334,8269494693.9567,2.1206666666666667,27.076666666666668,43.68019380925687,53.166286221592316,7.0537333836625224,1.312730444073755,3.1536666666666666,64.00519962253314,12.647621372883469,23.3471798613707
2006,0,79039747.375,40006171.375,39033576.0,11.2125,8.0125,3333961533615.3564,5.518625,84.32575,53.34479056766354,49.03897878400807,3.5762329532527986,1.269066934815057,1.65575,2.368552986538856,24.117122730553163,73.51432994937167
2006,1,221336719.7647059,109007549.94117647,112329169.8235294,21.50464705882353,7.338235294117647,473867448151.19037,6.138588235294117,49.82694117647059,36.85968605386443,32.68650322143414,7.0868794799680614,2.5780053492420096,2.739235294117647,37.15722828289042,19.28884605185782,43.55392448021378
2006,2,24686869.333333332,12526310.666666666,12160558.666666666,26.74133333333333,10.935666666666668,9432327075.495943,2.197,27.117,45.6935049138709,55.67754530008832,6.852655419864273,1.387907422720672,3.0896666666666666,62.92723251129767,12.973728675487664,24.099040320948102
2007,0,79573448.375,40254346.75,39319101.625,11.4,8.1125,3556691066326.6025,5.1027499999999995,84.597875,51.68640283418542,47.22664404428216,3.104341818060299,1.4635777569523039,1.6811250000000002,2.2938898413203828,24.090333053551987,73.61577774541468
2007,1,223740385.3529412,110203637.23529412,113536748.11764705,21.353823529411763,7.296235294117647,590019977897.5747,5.950705882352942,50.24852941176471,36.78196294861499,33.406643506934024,8.127200351786158,2.439686993430391,2.7118823529411764,36.36219476185702,19.48943309597091,44.14837049287637
2007,2,24923623.666666668,12644782.0,12278841.666666666,26.76533333333333,10.769666666666666,11867448013.483168,2.3116666666666665,27.15833333333333,45.12465905821017,54.48090620883938,6.245522168686846,1.414590100986537,3.0716666666666668,61.92975429235897,13.221219437622551,24.849030931264934
2008,0,80112946.5,40514158.125,39598788.375,11.425,8.1375,3721554726944.632,5.146,84.860125,54.4523087580672,51.60577762076575,0.6973603041130985,1.6342318656106727,1.69825,2.1384896324927234,23.869020327368712,73.9924902354755
2008,1,226125906.47058824,111390889.94117647,114735016.52941176,21.06658823529412,7.21835294117647,706453616022.9893,5.972235294117647,50.68294117647059,36.474905854837864,35.558312379861555,4.816337331815298,2.5007783344394454,2.6846470588235296,35.75439273532999,19.670057321662604,44.57554617685952
2008,2,25134473.666666668,12748526.666666666,12385947.0,26.733666666666668,11.390333333333333,16150853633.672998,2.295,27.212666666666667,46.565883762478336,60.38708804282624,0.020908376395169626,1.400339359681148,3.057,61.07260701306013,13.521253003984162,25.4061461035311
2009,0,80603687.0,40757587.0,39846100.0,11.175,8.025,3560044705738.7715,7.015375000000001,85.109,46.88071579991489,43.3783179589335,-3.038063870326504,1.3091727887230546,1.667875,2.1207672279191083,22.42589914583455,75.45333362624633
2009,1,228532315.29411766,112587684.64705883,115944630.64705883,20.822705882352942,7.149647058823529,706342001159.2822,6.412529411764705,51.119882352941175,32.20587113718146,32.08129106870917,3.372730386655679,2.5384567533051854,2.6509411764705884,34.982951831913404,19.691265439149568,45.32578759162333
2009,2,25360019.666666668,12860869.666666666,12499150.0,26.882,10.041333333333332,19691625283.5168,2.249,27.334333333333333,34.046836641760244,47.62321480631268,8.881449192342052,1.8235914986142177,3.0690000000000004,60.79911898244077,13.634634898736627,25.566254699005032
2010,0,81075313.125,40993097.0,40082216.125,11.0375,8.086875000000001,3761251860478.94,6.87,85.34575,49.14415693960473,45.18793879667151,4.323328318230726,1.0736019836359163,1.653625,2.075178351741933,21.928129209548676,75.99669679601656
2010,1,230937523.6470588,113780093.1764706,117157430.47058824,20.617588235294118,7.116941176470588,869853441094.4257,5.872470588235294,51.56264705882353,32.55720058426286,31.89773454365163,7.438890200854935,2.468362703354761,2.617588235294118,34.16200446731724,20.042593398896084,45.79540216310368
2010,2,25627218.666666668,12998343.333333334,12628875.333333334,26.711333333333332,9.538666666666666,25130380610.18433,2.315,27.458333333333332,38.773151650693805,52.58230121272488,12.05447293427799,1.9459269849417467,3.0483333333333333,58.615490707764565,13.91132978359829,27.47318360506433
2011,0,81297972.375,41083842.125,40214130.25,10.85,8.109125,4017140363998.994,6.5017499999999995,85.512,51.36031051510137,47.198637783347124,2.4443200140140964,0.7410309118420395,1.6363124999999998,1.9678172517066974,21.81729751079405,76.21488552535551
2011,1,233405196.17647058,115003370.1764706,118401826.0,20.475176470588234,7.0858823529411765,1042421436481.3649,5.923705882352941,51.98511764705882,31.259920872078812,33.31692515446245,1.8119121610210072,2.1948051925027507,2.586764705882353,33.71907063532701,20.243768526346233,46.037143353909975
2011,2,25912609.333333332,13145657.333333334,12766952.0,26.55933333333333,8.943333333333333,30037289469.9391,2.231666666666667,27.584333333333333,40.391331903001,53.008934591027945,9.166115924076943,2.00175496224072,3.0363333333333333,58.59371658395764,14.033218675151057,27.373057815654267
2012,0,81747946.125,41274501.125,40473445.0,10.9,8.17525,4103637931078.0664,6.273,85.619375,50.62410629897579,47.12768279458941,1.96869876152403,1.0176518363270015,1.6488125,1.9672499132995762,21.705963860425175,76.32678511427972
2012,1,236003915.47058824,116291272.76470588,119712642.70588236,20.27870588235294,7.0243529411764705,1115983515755.4646,5.725470588235294,52.40088235294118,31.994045892634023,32.98631481358488,10.576618019555955,2.1867377161005104,2.5706470588235293,33.04642283052422,20.826858398540875,46.126716803646254
2012,2,26200139.333333332,13296052.666666666,12904086.666666666,26.286666666666665,8.525666666666666,31626394416.0058,2.108,27.712333333333333,38.30009105509681,52.315420841308246,10.242601368694237,1.9544669522130134,3.0113333333333334,57.30493527289266,14.303832880900714,28.3912358434573
2013,0,82187755.0,41460352.5,40727402.5,10.5875,8.239374999999999,4095234887997.35,6.0603750000000005,85.722375,50.200367638605236,47.00489681663425,2.180923471923469,0.9106154184632457,1.6078125,1.8830880548841396,21.4752427801671,76.64166633173548
2013,1,238587427.3529412,117574386.94117647,121013040.41176471,19.954529411764703,6.987176470588235,1193438443383.7974,5.796235294117647,52.81458823529412,31.277601294424926,33.273247416344525,3.2052929582978673,2.380188012236084,2.5391176470588235,32.13141994885525,21.096685862139314,46.77189444902478
2013,2,26482224.666666668,13442142.0,13040082.666666666,25.951333333333334,8.134333333333332,33055962702.563965,2.052,27.842000000000002,38.35344709999374,49.80915767052175,6.493410555768324,1.8780878657100175,2.98,56.28366915969641,14.584503312500596,29.131827527803
2014,0,82658759.75,41667819.125,40990940.625,10.6625,8.192125,4184669094659.3896,5.608125,85.8215,50.09976172468931,46.625738634255995,2.358306566105277,0.8747550068297756,1.6173125,1.8951191119208757,21.26761309511074,76.83727041417283
